HMU_NUM	HMU_TYPE	PNTNUM	DEPTH	VELOCITY	SUBSTRATE
1	MODELLED_UNIT	1	0.41996527	0.12351914	MESOLITHAL
1	MODELLED_UNIT	2	0.35687958	0.29029263	MESOLITHAL
1	MODELLED_UNIT	3	0.43210324	0.44129107	MESOLITHAL
1	MODELLED_UNIT	4	0.46379901	0.4257976	MESOLITHAL
1	MODELLED_UNIT	5	0.48258003	0.34008817	MESOLITHAL
1	MODELLED_UNIT	6	0.48411204	0.43549208	MESOLITHAL
1	MODELLED_UNIT	7	0.51248294	0.32260078	MESOLITHAL
1	MODELLED_UNIT	8	0.48732189	0.40709779	MESOLITHAL
1	MODELLED_UNIT	9	0.71045612	0.38475494	MESOLITHAL
1	MODELLED_UNIT	10	0.73536515	0.33316573	MESOLITHAL
1	MODELLED_UNIT	11	0.6670487	0.38140699	MESOLITHAL
1	MODELLED_UNIT	12	0.67876206	0.330606	MESOLITHAL
1	MODELLED_UNIT	13	0.73012185	0.34450352	MESOLITHAL
1	MODELLED_UNIT	14	0.79655111	0.42596634	MESOLITHAL
1	MODELLED_UNIT	15	0.89522249	0.37362062	MESOLITHAL
1	MODELLED_UNIT	16	0.80525053	0.41805072	MESOLITHAL
1	MODELLED_UNIT	17	0.7653027	0.4419974	MESOLITHAL
1	MODELLED_UNIT	18	0.85548353	0.38093362	MESOLITHAL
1	MODELLED_UNIT	19	0.8726542	0.38122991	MESOLITHAL
1	MODELLED_UNIT	20	0.85988658	0.35376647	MESOLITHAL
1	MODELLED_UNIT	21	0.84765055	0.35286214	MESOLITHAL
1	MODELLED_UNIT	22	0.89449589	0.39575104	MESOLITHAL
1	MODELLED_UNIT	23	0.76216887	0.43037888	MESOLITHAL
1	MODELLED_UNIT	24	0.88760965	0.40021163	MESOLITHAL
1	MODELLED_UNIT	25	0.87661269	0.32495161	MESOLITHAL
1	MODELLED_UNIT	26	0.79170451	0.43803576	MESOLITHAL
1	MODELLED_UNIT	27	0.87579801	0.35455325	MESOLITHAL
1	MODELLED_UNIT	28	0.84702807	0.42946307	MESOLITHAL
1	MODELLED_UNIT	29	0.92151912	0.46626185	MESOLITHAL
1	MODELLED_UNIT	30	0.90189399	0.52475431	MESOLITHAL
1	MODELLED_UNIT	31	0.95613951	0.45683974	MESOLITHAL
1	MODELLED_UNIT	32	0.92599101	0.5056673	MESOLITHAL
1	MODELLED_UNIT	33	0.99981469	0.51644995	MESOLITHAL
1	MODELLED_UNIT	34	1.0307676	0.47484974	MESOLITHAL
1	MODELLED_UNIT	35	0.91155275	0.51876666	MESOLITHAL
1	MODELLED_UNIT	36	1.0347383	0.4737099	MICROLITHAL
1	MODELLED_UNIT	37	0.92087861	0.53845772	MICROLITHAL
1	MODELLED_UNIT	38	0.93167467	0.45923495	MICROLITHAL
1	MODELLED_UNIT	39	0.98350661	0.48768791	MICROLITHAL
1	MODELLED_UNIT	40	0.93208093	0.55886032	MICROLITHAL
1	MODELLED_UNIT	41	0.94107824	0.58147396	MICROLITHAL
1	MODELLED_UNIT	42	1.0763731	0.582264	MICROLITHAL
1	MODELLED_UNIT	43	1.0558298	0.54382577	MICROLITHAL
1	MODELLED_UNIT	44	1.1764749	0.48241455	MICROLITHAL
1	MODELLED_UNIT	45	1.0979812	0.63985421	MICROLITHAL
1	MODELLED_UNIT	46	1.1696316	0.72178377	MICROLITHAL
1	MODELLED_UNIT	47	1.1259926	0.64554681	MICROLITHAL
1	MODELLED_UNIT	48	1.1287766	0.62636576	MICROLITHAL
1	MODELLED_UNIT	49	1.1111018	0.61034878	MICROLITHAL
1	MODELLED_UNIT	50	1.3653635	0.62078779	MICROLITHAL
2	MODELLED_UNIT	1	0.13204727	0.71596037	MACROLITHAL
2	MODELLED_UNIT	2	0.10059303	0.66370165	MACROLITHAL
2	MODELLED_UNIT	3	0.12503045	0.81439339	MESOLITHAL
2	MODELLED_UNIT	4	0.13758546	0.86315703	MESOLITHAL
2	MODELLED_UNIT	5	0.13939229	0.75605038	MESOLITHAL
2	MODELLED_UNIT	6	0.10928181	0.87650248	MESOLITHAL
2	MODELLED_UNIT	7	0.14180902	0.78756145	MESOLITHAL
2	MODELLED_UNIT	8	0.13321461	0.98944701	MESOLITHAL
2	MODELLED_UNIT	9	0.14690332	0.94375731	MESOLITHAL
2	MODELLED_UNIT	10	0.11835191	1.0241837	MICROLITHAL
2	MODELLED_UNIT	11	0.12923314	1.0391456	MICROLITHAL
2	MODELLED_UNIT	12	0.10571041	1.0351971	MICROLITHAL
2	MODELLED_UNIT	13	0.14343032	0.92372358	MICROLITHAL
2	MODELLED_UNIT	14	0.11582626	0.90655747	MICROLITHAL
2	MODELLED_UNIT	15	0.12790068	0.99379933	MICROLITHAL
2	MODELLED_UNIT	16	0.19573591	1.1750646	MICROLITHAL
2	MODELLED_UNIT	17	0.27043408	1.1157102	MICROLITHAL
2	MODELLED_UNIT	18	0.17351973	1.061429	MICROLITHAL
2	MODELLED_UNIT	19	0.25936715	1.1288955	MICROLITHAL
2	MODELLED_UNIT	20	0.2158008	1.1805432	MICROLITHAL
2	MODELLED_UNIT	21	0.15306452	1.1129162	MICROLITHAL
2	MODELLED_UNIT	22	0.21280768	1.1390509	MICROLITHAL
2	MODELLED_UNIT	23	0.22489242	1.1515825	MICROLITHAL
2	MODELLED_UNIT	24	0.17069491	1.1381792	MICROLITHAL
2	MODELLED_UNIT	25	0.16650304	1.0502679	MICROLITHAL
2	MODELLED_UNIT	26	0.1990554	1.0855551	MICROLITHAL
2	MODELLED_UNIT	27	0.22433763	1.0992246	MICROLITHAL
2	MODELLED_UNIT	28	0.21820409	1.1207052	MICROLITHAL
2	MODELLED_UNIT	29	0.17131063	1.3363026	MICROLITHAL
2	MODELLED_UNIT	30	0.21304177	2.3665988	MICROLITHAL
2	MODELLED_UNIT	31	0.22148014	1.7708209	MICROLITHAL
2	MODELLED_UNIT	32	0.24543222	1.308412	MICROLITHAL
2	MODELLED_UNIT	33	0.18369754	2.4343356	MICROLITHAL
2	MODELLED_UNIT	34	0.15374156	1.4460886	MICROLITHAL
2	MODELLED_UNIT	35	0.29522861	1.6792407	MICROLITHAL
2	MODELLED_UNIT	36	0.35657156	1.2515159	MICROLITHAL
2	MODELLED_UNIT	37	0.38221462	1.3676089	MICROLITHAL
2	MODELLED_UNIT	38	0.43285739	1.8917677	MICROLITHAL
2	MODELLED_UNIT	39	0.37984368	1.6314331	MICROLITHAL
2	MODELLED_UNIT	40	0.32358339	2.1654215	MICROLITHAL
2	MODELLED_UNIT	41	0.44811498	1.5589319	MICROLITHAL
2	MODELLED_UNIT	42	0.43048241	1.7030903	MICROLITHAL
2	MODELLED_UNIT	43	0.4459516	1.696108	MICROLITHAL
2	MODELLED_UNIT	44	0.30576	1.9953498	MICROLITHAL
2	MODELLED_UNIT	45	0.34721151	1.2588595	MICROLITHAL
2	MODELLED_UNIT	46	0.31327991	1.231725	MICROLITHAL
2	MODELLED_UNIT	47	0.33782918	1.6876228	MICROLITHAL
2	MODELLED_UNIT	48	0.42980353	1.5960185	MICROLITHAL
2	MODELLED_UNIT	49	0.38004389	1.3826708	MICROLITHAL
2	MODELLED_UNIT	50	0.57820855	2.2187269	MICROLITHAL
3	MODELLED_UNIT	1	0.15391594	0.11602212	MACROLITHAL
3	MODELLED_UNIT	2	0.40173343	0.27063999	MESOLITHAL
3	MODELLED_UNIT	3	0.58394208	0.26461268	MESOLITHAL
3	MODELLED_UNIT	4	0.53750217	0.29960395	MESOLITHAL
3	MODELLED_UNIT	5	0.46071213	0.41478353	MESOLITHAL
3	MODELLED_UNIT	6	0.52529943	0.31589084	MESOLITHAL
3	MODELLED_UNIT	7	0.57453565	0.42682677	MESOLITHAL
3	MODELLED_UNIT	8	0.71168032	0.44037986	MESOLITHAL
3	MODELLED_UNIT	9	0.64553842	0.42548392	MESOLITHAL
3	MODELLED_UNIT	10	0.62098341	0.37072384	MESOLITHAL
3	MODELLED_UNIT	11	0.64094382	0.41166597	MESOLITHAL
3	MODELLED_UNIT	12	0.65762413	0.44639442	MESOLITHAL
3	MODELLED_UNIT	13	0.70748835	0.54209229	MESOLITHAL
3	MODELLED_UNIT	14	0.6984099	0.49217825	MESOLITHAL
3	MODELLED_UNIT	15	0.71475202	0.52197554	MESOLITHAL
3	MODELLED_UNIT	16	0.87320527	0.56449217	MESOLITHAL
3	MODELLED_UNIT	17	0.75618396	0.54218737	MESOLITHAL
3	MODELLED_UNIT	18	0.8722446	0.46878072	MESOLITHAL
3	MODELLED_UNIT	19	0.7793496	0.5107417	MESOLITHAL
3	MODELLED_UNIT	20	0.87860572	0.51997179	MESOLITHAL
3	MODELLED_UNIT	21	0.89248279	0.46726223	MESOLITHAL
3	MODELLED_UNIT	22	0.80578863	0.45249792	MESOLITHAL
3	MODELLED_UNIT	23	0.8129028	0.5379119	MESOLITHAL
3	MODELLED_UNIT	24	0.87061337	0.45197295	MESOLITHAL
3	MODELLED_UNIT	25	0.85638023	0.59550954	MESOLITHAL
3	MODELLED_UNIT	26	0.86229061	0.57151705	MESOLITHAL
3	MODELLED_UNIT	27	0.86184363	0.48952423	MESOLITHAL
3	MODELLED_UNIT	28	0.83509704	0.46652874	MESOLITHAL
3	MODELLED_UNIT	29	0.7952687	0.48208773	MESOLITHAL
3	MODELLED_UNIT	30	0.8436241	0.50429847	MESOLITHAL
3	MODELLED_UNIT	31	0.86043387	0.46222241	MESOLITHAL
3	MODELLED_UNIT	32	0.89890677	0.46060727	MESOLITHAL
3	MODELLED_UNIT	33	0.88748178	0.53776703	MESOLITHAL
3	MODELLED_UNIT	34	0.79820435	0.49923726	MESOLITHAL
3	MODELLED_UNIT	35	0.98979334	0.52935114	MESOLITHAL
3	MODELLED_UNIT	36	1.0496659	0.47144231	MESOLITHAL
3	MODELLED_UNIT	37	0.93392258	0.47223289	MESOLITHAL
3	MODELLED_UNIT	38	0.90458613	0.50920298	MESOLITHAL
3	MODELLED_UNIT	39	0.96802414	0.50050356	MESOLITHAL
3	MODELLED_UNIT	40	1.0160567	0.49159122	MICROLITHAL
3	MODELLED_UNIT	41	0.91592459	0.46791859	MICROLITHAL
3	MODELLED_UNIT	42	0.96840923	0.68551301	MICROLITHAL
3	MODELLED_UNIT	43	0.92350151	0.6553248	MICROLITHAL
3	MODELLED_UNIT	44	1.0005117	0.66229086	MICROLITHAL
3	MODELLED_UNIT	45	0.91182593	0.62513537	MICROLITHAL
3	MODELLED_UNIT	46	1.0214185	0.67917626	MICROLITHAL
3	MODELLED_UNIT	47	0.98043818	0.70964995	MICROLITHAL
3	MODELLED_UNIT	48	0.90303734	0.73428704	MICROLITHAL
3	MODELLED_UNIT	49	1.0585641	0.69979379	MICROLITHAL
3	MODELLED_UNIT	50	1.0616558	0.82530844	MICROLITHAL
4	MODELLED_UNIT	1	0.09258631	0.56388698	MACROLITHAL
4	MODELLED_UNIT	2	0.26037098	0.64936846	MESOLITHAL
4	MODELLED_UNIT	3	0.16419896	0.86549901	MESOLITHAL
4	MODELLED_UNIT	4	0.24033157	0.88931745	MESOLITHAL
4	MODELLED_UNIT	5	0.25406092	0.83997301	MESOLITHAL
4	MODELLED_UNIT	6	0.17066259	0.88912211	MESOLITHAL
4	MODELLED_UNIT	7	0.27740498	0.8767789	MESOLITHAL
4	MODELLED_UNIT	8	0.25302046	1.0035039	MESOLITHAL
4	MODELLED_UNIT	9	0.42941852	1.0358345	MESOLITHAL
4	MODELLED_UNIT	10	0.32645538	1.0142047	MESOLITHAL
4	MODELLED_UNIT	11	0.3811434	0.91791909	MESOLITHAL
4	MODELLED_UNIT	12	0.38201232	1.0187895	MESOLITHAL
4	MODELLED_UNIT	13	0.38913757	0.93646215	MESOLITHAL
4	MODELLED_UNIT	14	0.3651703	1.0053904	MESOLITHAL
4	MODELLED_UNIT	15	0.40149176	1.0337338	MESOLITHAL
4	MODELLED_UNIT	16	0.36018726	1.1416264	MESOLITHAL
4	MODELLED_UNIT	17	0.33207495	1.1403722	MESOLITHAL
4	MODELLED_UNIT	18	0.43155886	1.1325767	MESOLITHAL
4	MODELLED_UNIT	19	0.36458941	1.1994538	MESOLITHAL
4	MODELLED_UNIT	20	0.44193127	1.0844922	MESOLITHAL
4	MODELLED_UNIT	21	0.31333269	1.176429	MESOLITHAL
4	MODELLED_UNIT	22	0.38069929	1.0670193	MESOLITHAL
4	MODELLED_UNIT	23	0.44383264	1.0950902	MESOLITHAL
4	MODELLED_UNIT	24	0.4484198	1.4613579	MESOLITHAL
4	MODELLED_UNIT	25	0.39568869	1.3599835	MESOLITHAL
4	MODELLED_UNIT	26	0.35670715	1.3778981	MESOLITHAL
4	MODELLED_UNIT	27	0.39488556	1.5762211	MESOLITHAL
4	MODELLED_UNIT	28	0.32119891	1.5217923	MESOLITHAL
4	MODELLED_UNIT	29	0.42373217	1.3108649	MESOLITHAL
4	MODELLED_UNIT	30	0.49056579	1.2239051	MESOLITHAL
4	MODELLED_UNIT	31	0.51205247	1.4676175	MESOLITHAL
4	MODELLED_UNIT	32	0.57988322	1.242758	MESOLITHAL
4	MODELLED_UNIT	33	0.5154931	1.2265653	MESOLITHAL
4	MODELLED_UNIT	34	0.57556761	1.4805292	MESOLITHAL
4	MODELLED_UNIT	35	0.5172974	1.3553825	MESOLITHAL
4	MODELLED_UNIT	36	0.57027525	1.8395499	MESOLITHAL
4	MODELLED_UNIT	37	0.54745842	1.2412514	MESOLITHAL
4	MODELLED_UNIT	38	0.5937208	1.7450473	MESOLITHAL
4	MODELLED_UNIT	39	0.45611707	1.6971993	MESOLITHAL
4	MODELLED_UNIT	40	0.52640304	1.3689476	MESOLITHAL
4	MODELLED_UNIT	41	0.48221059	1.4684102	MESOLITHAL
4	MODELLED_UNIT	42	0.66775527	1.7111411	MESOLITHAL
4	MODELLED_UNIT	43	0.69434248	1.2610683	MESOLITHAL
4	MODELLED_UNIT	44	0.65492986	1.3575303	MESOLITHAL
4	MODELLED_UNIT	45	0.6173573	1.4125021	MESOLITHAL
4	MODELLED_UNIT	46	0.69165185	1.4386831	MESOLITHAL
4	MODELLED_UNIT	47	0.70043882	1.6499882	MESOLITHAL
4	MODELLED_UNIT	48	0.69349832	1.5764673	MESOLITHAL
4	MODELLED_UNIT	49	0.74257453	1.3351674	MESOLITHAL
4	MODELLED_UNIT	50	0.66135758	1.3031194	MESOLITHAL
5	MODELLED_UNIT	1	0.22171674	0.25995084	MESOLITHAL
5	MODELLED_UNIT	2	0.22126582	0.27889	MESOLITHAL
5	MODELLED_UNIT	3	0.29540255	0.27209824	MESOLITHAL
5	MODELLED_UNIT	4	0.24901828	0.22814546	MESOLITHAL
5	MODELLED_UNIT	5	0.29311667	0.24371196	MESOLITHAL
5	MODELLED_UNIT	6	0.23574784	0.41910892	MESOLITHAL
5	MODELLED_UNIT	7	0.31267428	0.37702988	MESOLITHAL
5	MODELLED_UNIT	8	0.40799575	0.33253965	MESOLITHAL
5	MODELLED_UNIT	9	0.43106305	0.33799039	MESOLITHAL
5	MODELLED_UNIT	10	0.4113286	0.37751107	MESOLITHAL
5	MODELLED_UNIT	11	0.40575106	0.42808132	MESOLITHAL
5	MODELLED_UNIT	12	0.42675787	0.33672207	MESOLITHAL
5	MODELLED_UNIT	13	0.4090928	0.41660864	MESOLITHAL
5	MODELLED_UNIT	14	0.40371189	0.38094501	MESOLITHAL
5	MODELLED_UNIT	15	0.44738804	0.38487425	MESOLITHAL
5	MODELLED_UNIT	16	0.33495174	0.36146978	MESOLITHAL
5	MODELLED_UNIT	17	0.41352221	0.32386219	MESOLITHAL
5	MODELLED_UNIT	18	0.43765948	0.38976864	MESOLITHAL
5	MODELLED_UNIT	19	0.40722296	0.41633562	MESOLITHAL
5	MODELLED_UNIT	20	0.3568234	0.42917174	MESOLITHAL
5	MODELLED_UNIT	21	0.5040703	0.34269769	MESOLITHAL
5	MODELLED_UNIT	22	0.57105405	0.40972647	MESOLITHAL
5	MODELLED_UNIT	23	0.54232771	0.40152609	MESOLITHAL
5	MODELLED_UNIT	24	0.5233909	0.44275675	MESOLITHAL
5	MODELLED_UNIT	25	0.56610319	0.43330457	MESOLITHAL
5	MODELLED_UNIT	26	0.47667608	0.30144846	MESOLITHAL
5	MODELLED_UNIT	27	0.58536137	0.43770068	MESOLITHAL
5	MODELLED_UNIT	28	0.54147649	0.33528571	MESOLITHAL
5	MODELLED_UNIT	29	0.53030321	0.32666543	MICROLITHAL
