HMU_NUM	HMU_TYPE	PNTNUM	DEPTH	VELOCITY	SUBSTRATE
1	MODELLED_UNITS	1	0.42288711	0.12848692	MESOLITHAL
1	MODELLED_UNITS	2	0.44068497	0.19328136	MESOLITHAL
1	MODELLED_UNITS	3	0.3818997	0.31509184	MESOLITHAL
1	MODELLED_UNITS	4	0.54351605	0.42169467	MESOLITHAL
1	MODELLED_UNITS	5	0.52910732	0.44156787	MESOLITHAL
1	MODELLED_UNITS	6	0.57242024	0.37311883	MESOLITHAL
1	MODELLED_UNITS	7	0.53859187	0.32501902	MESOLITHAL
1	MODELLED_UNITS	8	0.52093004	0.4209781	MESOLITHAL
1	MODELLED_UNITS	9	0.62517713	0.39156665	MESOLITHAL
1	MODELLED_UNITS	10	0.66143314	0.32007548	MESOLITHAL
1	MODELLED_UNITS	11	0.71950357	0.38002394	MESOLITHAL
1	MODELLED_UNITS	12	0.62730114	0.43801054	MESOLITHAL
1	MODELLED_UNITS	13	0.72954515	0.43347768	MESOLITHAL
1	MODELLED_UNITS	14	0.83653884	0.38604491	MESOLITHAL
1	MODELLED_UNITS	15	0.82338163	0.41612862	MESOLITHAL
1	MODELLED_UNITS	16	0.87772672	0.40817842	MESOLITHAL
1	MODELLED_UNITS	17	0.80263168	0.44029537	MESOLITHAL
1	MODELLED_UNITS	18	0.83534701	0.40694898	MESOLITHAL
1	MODELLED_UNITS	19	0.85688808	0.44914702	MESOLITHAL
1	MODELLED_UNITS	20	0.86309988	0.42631615	MESOLITHAL
1	MODELLED_UNITS	21	0.75413756	0.40349415	MESOLITHAL
1	MODELLED_UNITS	22	0.80947605	0.40128461	MESOLITHAL
1	MODELLED_UNITS	23	0.7900413	0.37637607	MESOLITHAL
1	MODELLED_UNITS	24	0.85258438	0.33860054	MESOLITHAL
1	MODELLED_UNITS	25	0.76361506	0.44023424	MESOLITHAL
1	MODELLED_UNITS	26	0.7766444	0.43529283	MESOLITHAL
1	MODELLED_UNITS	27	0.8112706	0.44293353	MESOLITHAL
1	MODELLED_UNITS	28	0.77418544	0.31041886	MESOLITHAL
1	MODELLED_UNITS	29	0.91833463	0.58481169	MESOLITHAL
1	MODELLED_UNITS	30	0.95618628	0.56370763	MESOLITHAL
1	MODELLED_UNITS	31	1.0287799	0.58722026	MESOLITHAL
1	MODELLED_UNITS	32	0.98413142	0.45945532	MESOLITHAL
1	MODELLED_UNITS	33	0.95305721	0.4727444	MESOLITHAL
1	MODELLED_UNITS	34	0.94510888	0.48600647	MESOLITHAL
1	MODELLED_UNITS	35	0.91762584	0.48102754	MESOLITHAL
1	MODELLED_UNITS	36	1.0061541	0.50286898	MICROLITHAL
1	MODELLED_UNITS	37	0.99981469	0.56894679	MICROLITHAL
1	MODELLED_UNITS	38	0.97288345	0.53877845	MICROLITHAL
1	MODELLED_UNITS	39	0.90007151	0.48737629	MICROLITHAL
1	MODELLED_UNITS	40	1.0235715	0.45042736	MICROLITHAL
1	MODELLED_UNITS	41	0.97926657	0.45655974	MICROLITHAL
1	MODELLED_UNITS	42	1.0804021	0.55911839	MICROLITHAL
1	MODELLED_UNITS	43	1.1144772	0.57726552	MICROLITHAL
1	MODELLED_UNITS	44	1.0897636	0.46130179	MICROLITHAL
1	MODELLED_UNITS	45	1.1298671	0.64325416	MICROLITHAL
1	MODELLED_UNITS	46	1.0789539	0.65076291	MICROLITHAL
1	MODELLED_UNITS	47	1.1528491	0.62210438	MICROLITHAL
1	MODELLED_UNITS	48	1.0567373	0.6097282	MICROLITHAL
1	MODELLED_UNITS	49	1.1056709	0.60059088	MICROLITHAL
1	MODELLED_UNITS	50	1.2364572	0.63285947	MICROLITHAL
2	MODELLED_UNITS	1	0.11729529	0.66370165	MACROLITHAL
2	MODELLED_UNITS	2	0.11225567	0.71596037	MACROLITHAL
2	MODELLED_UNITS	3	0.07064951	0.86315703	MESOLITHAL
2	MODELLED_UNITS	4	0.13204727	0.84407145	MESOLITHAL
2	MODELLED_UNITS	5	0.12283697	0.81534333	MESOLITHAL
2	MODELLED_UNITS	6	0.13758546	0.81439339	MESOLITHAL
2	MODELLED_UNITS	7	0.10926743	0.78756145	MESOLITHAL
2	MODELLED_UNITS	8	0.11976653	1.0351971	MESOLITHAL
2	MODELLED_UNITS	9	0.1423196	1.0241837	MESOLITHAL
2	MODELLED_UNITS	10	0.10571041	1.0391456	MICROLITHAL
2	MODELLED_UNITS	11	0.11101905	1.0277854	MICROLITHAL
2	MODELLED_UNITS	12	0.14690332	0.95519596	MICROLITHAL
2	MODELLED_UNITS	13	0.11582626	0.93808214	MICROLITHAL
2	MODELLED_UNITS	14	0.10059303	0.92372358	MICROLITHAL
2	MODELLED_UNITS	15	0.12923314	0.94375731	MICROLITHAL
2	MODELLED_UNITS	16	0.29522861	1.1288955	MICROLITHAL
2	MODELLED_UNITS	17	0.20854414	1.0578312	MICROLITHAL
2	MODELLED_UNITS	18	0.23007903	1.081071	MICROLITHAL
2	MODELLED_UNITS	19	0.21820409	1.0855551	MICROLITHAL
2	MODELLED_UNITS	20	0.21280768	1.1515825	MICROLITHAL
2	MODELLED_UNITS	21	0.21304177	1.1390509	MICROLITHAL
2	MODELLED_UNITS	22	0.1990554	1.0502679	MICROLITHAL
2	MODELLED_UNITS	23	0.18673262	1.1385991	MICROLITHAL
2	MODELLED_UNITS	24	0.15374156	1.1323942	MICROLITHAL
2	MODELLED_UNITS	25	0.16650304	1.1805432	MICROLITHAL
2	MODELLED_UNITS	26	0.21871826	1.1076158	MICROLITHAL
2	MODELLED_UNITS	27	0.22433763	1.0992246	MICROLITHAL
2	MODELLED_UNITS	28	0.2698171	1.1207052	MICROLITHAL
2	MODELLED_UNITS	29	0.19573591	1.7955335	MICROLITHAL
2	MODELLED_UNITS	30	0.17069491	2.765565	MICROLITHAL
2	MODELLED_UNITS	31	0.16784277	2.1490599	MICROLITHAL
2	MODELLED_UNITS	32	0.17351973	1.231725	MICROLITHAL
2	MODELLED_UNITS	33	0.18343614	1.2588595	MICROLITHAL
2	MODELLED_UNITS	34	0.22148014	1.9912019	MICROLITHAL
2	MODELLED_UNITS	35	0.18283292	1.892715	MICROLITHAL
2	MODELLED_UNITS	36	0.35657156	1.8984232	MICROLITHAL
2	MODELLED_UNITS	37	0.4050678	1.3826708	MICROLITHAL
2	MODELLED_UNITS	38	0.31327991	1.2789864	MICROLITHAL
2	MODELLED_UNITS	39	0.44242317	1.8917677	MICROLITHAL
2	MODELLED_UNITS	40	0.42980353	1.5589319	MICROLITHAL
2	MODELLED_UNITS	41	0.38893083	1.696108	MICROLITHAL
2	MODELLED_UNITS	42	0.43285739	1.7030903	MICROLITHAL
2	MODELLED_UNITS	43	0.40773569	1.9953498	MICROLITHAL
2	MODELLED_UNITS	44	0.37179478	1.2515159	MICROLITHAL
2	MODELLED_UNITS	45	0.34721151	2.1654215	MICROLITHAL
